"d";"g";"c";"sc";"p";"ccif";"glosa_ccif"
"01";"0";"0";"00";"00";"01.0.0.00.00";"ALIMENTOS Y BEBIDAS NO ALCOHÓLICAS"
"01";"1";"0";"00";"00";"01.1.0.00.00";"ALIMENTOS"
"01";"1";"1";"00";"00";"01.1.1.00.00";"CEREALES Y PRODUCTOS DE CEREAL (ND)"
"01";"1";"1";"01";"00";"01.1.1.01.00";"CEREALES (ND)"
"01";"1";"1";"01";"01";"01.1.1.01.01";"ARROZ"
"01";"1";"1";"01";"02";"01.1.1.01.02";"MAÍZ"
"01";"1";"1";"01";"03";"01.1.1.01.03";"QUINOA"
"01";"1";"1";"01";"04";"01.1.1.01.04";"AVENA"
"01";"1";"1";"01";"99";"01.1.1.01.99";"OTROS CEREALES N.C.P."
"01";"1";"1";"02";"00";"01.1.1.02.00";"HARINA DE CEREALES (ND)"
"01";"1";"1";"02";"01";"01.1.1.02.01";"HARINA DE TRIGO BLANCA"
"01";"1";"1";"02";"99";"01.1.1.02.99";"HARINAS DE OTROS CEREALES N.C.P."
"01";"1";"1";"03";"00";"01.1.1.03.00";"PAN Y PRODUCTOS DE PANADERÍA (ND)"
"01";"1";"1";"03";"01";"01.1.1.03.01";"PAN CORRIENTE A GRANEL"
"01";"1";"1";"03";"02";"01.1.1.03.02";"PAN ESPECIAL A GRANEL"
"01";"1";"1";"03";"03";"01.1.1.03.03";"PAN ENVASADO"
"01";"1";"1";"03";"04";"01.1.1.03.04";"TORTILLAS DE RESCOLDO Y SIMILARES"
"01";"1";"1";"03";"05";"01.1.1.03.05";"GALLETAS DULCES CON RELLENO"
"01";"1";"1";"03";"06";"01.1.1.03.06";"GALLETAS DULCES SIN RELLENO"
"01";"1";"1";"03";"07";"01.1.1.03.07";"GALLETAS NO DULCES"
"01";"1";"1";"03";"08";"01.1.1.03.08";"GALLETAS NO IDENTIFICADAS"
"01";"1";"1";"03";"09";"01.1.1.03.09";"TORTAS Y MASAS DULCES GRANDES"
"01";"1";"1";"03";"10";"01.1.1.03.10";"PASTELES Y MASAS DULCES PEQUEÑAS O POR PORCIÓN"
"01";"1";"1";"03";"11";"01.1.1.03.11";"PREPIZZA"
"01";"1";"1";"03";"12";"01.1.1.03.12";"MASAS SALADAS SIN RELLENO Y SIN AGREGADOS PARA COCINAR"
"01";"1";"1";"04";"00";"01.1.1.04.00";"CEREALES PARA EL DESAYUNO (ND)"
"01";"1";"1";"04";"01";"01.1.1.04.01";"CEREALES PARA EL DESAYUNO"
"01";"1";"1";"05";"00";"01.1.1.05.00";"MACARRONES, FIDEOS, CUSCÚS Y PRODUCTOS DE PASTA SIMILARES (ND)"
